Day,Tutor,Start,End,Courses,Active
Monday,Alex Johnson,8:00 AM,10:00 AM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Jordan Lee,8:00 AM,10:00 AM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 172; PHYS 201",Yes
Monday,Alex Johnson,10:00 AM,11:00 AM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Jordan Lee,10:00 AM,11:00 AM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 172; PHYS 201",Yes
Monday,Taylor Morgan,11:00 AM,1:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; MATH 172",Yes
Monday,Morgan Chen,11:00 AM,1:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Alex Johnson,1:00 PM,3:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Jordan Lee,1:00 PM,3:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 172; PHYS 201",Yes
Monday,Taylor Morgan,3:00 PM,4:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; MATH 172",Yes
Monday,Morgan Chen,3:00 PM,4:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Alex Johnson,4:00 PM,6:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Jordan Lee,4:00 PM,6:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; MATH 172; PHYS 201",Yes
Monday,Taylor Morgan,6:00 PM,7:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; MATH 172",Yes
Monday,Morgan Chen,6:00 PM,7:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Alex Johnson,7:00 PM,8:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 171; PHYS 201",Yes
Monday,Jordan Lee,7:00 PM,8:00 PM,"CHE 101; CHE 201; CHE 321; CHE 441; CHE 485; CHE 598; ENGR 101; ENGR 102; MATH 172; PHYS 201",Yes
